release_id,title,released,styles,label_id,artist_id
3372117,New Series,n/a,n/a,49764,194
2296814,Hustlers,n/a,n/a,172430,50997
1437684,Skin Tight  / Heaven Must Be Like This,2008,Soul / Funk / Disco,39357,48413
6095128,Syro,2014,Breakbeat / IDM / Downtempo,23528,45
1541253,Usual Suspect,1996,n/a,26011,120527
797,The Analogue Theatre,1996,Techno / Big Beat / Breakbeat,225,1196
70740,The Crusher's Trash,1997,Speedcore / Hardcore / Gabber,5353,25788
9743040,Extraterrestria Puzzle Piece #4,2017,Turntablism,19078,47076
9907434,Extraterrestria Puzzle Piece #9,2017,Turntablism,19078,47076
804232,Where Are You Now?,1999,Trance,1184,28091
8104979,Don't Go Against The Grain,1997,n/a,878,226260
142955,The Master Blaster E.P.,1995,House,88,11491
55391,Steppin' With The Sound,1991,Jazzy Hip-Hop / Acid Jazz,6723,7162
421098,Make It Reign,1998,n/a,1866,95032
450689,Run The Streets / Expanded,2004,Drum n Bass,478,875447
404276,Kameezol 03,1998,Hardcore / Techno,21271,21524
53750,Awake In Neo Tokyo,1995,Hardcore / Techno,6236,102420
3303546,Ramones,2011,Rock & Roll / Punk / Power Pop,27031,135478
3514530,Neverending Reflections,2012,Downtempo / Deep House,1331,1098
9594041,Super Seal Giant Robo V.1 (Head),2016,DJ Battle Tool,19078,176667
11403471,Gone In 60 Seconds: Music From The Motion Picture,2000,Alternative Rock / Hip Hop / Big Beat,8377,194
24339,Arachnide,1996,Hardcore,4356,18536
1311603,Happy People,1996,House / Garage House,44853,22076
645496,Tenderness,1984,Electro / Synth-pop / Reggae-Pop / Ska,750,93737
267235,Heavenly Divine,1999,n/a,23188,89865
529030,Say It Twice,1999,n/a,31724,369500
177209,Zorro,1984,Italo-Disco,2167,47010
133606,After The Storm EP,2002,House / Tribal House,13302,866
81400,T-Minus,2000,Drum n Bass,123,4954
10907935,Cassette For You,2017,Funk / Boogie / Soul,980370,5875848
4956806,MJ A Rocker No. 2,2013,Reggae-Pop,212882,1172859
184050,I Wanna Take You,1988,Freestyle / House,3784,203925
7302194,The Children We Were,2015,Deep House,222096,2042
20559,I Am Living Death,1995,Speedcore / Hardcore,4048,17360
9912952,Sweet Temptation,2017,House,65616,2920917
9240135,RPDC002,2016,Techno,1012870,5057076
20560,Gimme Death E.P.,1995,Speedcore / Hardcore,4048,17358
500261,The Sun Highway,1990,Alternative Rock,222145,366154
11094458,INTHEMIX 2,n/a,RnB/Swing / DJ Battle Tool / Hip Hop,12099,194
6725435,New Energy [Collected Remixes],2015,Techno,94402,2519485
193840,The Last Communication EP,1999,Hardcore,14866,18473
20558,We Came To Hool,1995,Hardcore,4048,17359
5062964,Big Smoke EP,2013,Techno,166787,430816
6468911,When The World Runs Fast,1987,Psychedelic Rock / Hard Rock,148324,2295040
3539967,Love Amazing,n/a,House / Garage House,50951,1104
10163856,Dance Floor Boogie Delites,2017,House / Deep House / Boogie,1483015,693
931888,The Instrumentals,2005,Breakbeat / Breaks / Dub / Trip Hop,4425,774610
10624249,Mini Wheels,2017,DJ Battle Tool / Cut-up/DJ / Turntablism,19078,34225
6599130,Initial,2015,Techno / Electro / Breaks,422025,1773572
9903221,How Can I,2017,House / Deep House / Tech House,1760,2145
8678345,Radio Therapy ,2016,Techno / IDM,18,1900234
8896240,Fon Space Project,2016,Deep House,1483015,693
5029988,Nouskaa Henget,2013,Neofolk / Experimental,254942,1623762
934723,Abstract Jazz Lounge III,2000,Drum n Bass / Future Jazz / Techno / Deep House / House / Tribal House,88,194
7320681,Juke Joint,n/a,House / Baltimore Club,879991,4542470
8626682,Basil & Rogers,2016,Disco / P.Funk / Psychedelic,640826,5092572
8915089,Los Angeles is a Desert,2016,Downtempo / Disco / Leftfield / Nu-Disco,93810,5208566
3990116,Blaze EP,2012,Deep House,46809,328543
5743887,Led Zeppelin II,2014,Classic Rock / Hard Rock,681,34278
9905253,Humans Drums & Machines,2017,Deep House,348697,693
8102786,Untitled,2016,House / Deep House,1483015,693
9690,Soulfood,1999,Future Jazz / Downtempo,979,194
372834,Dregh R.I.P,2004,Hardcore,6257,75873
1223551,Quick Love / Rising,2005,Drum n Bass,2710,467945
10664718,RPDC003,2017,Techno,1012870,2450802
186113,The Youngsters EP 2,1997,Hard House / House,7128,28279
5053965,Licht & Schatten,2013,Techno / Tech House,129209,49244
44209,Just Whistle,1995,House,145,866
7578120,Underground Classics,2006,n/a,10433,14295
2140,Hypokondriak / Afrika,1998,Tribal / Techno / Minimal,246,1030
2256,Sheet One,1993,Techno / Experimental / Minimal / Acid,113,1030
4753376,Margosa Heights ,2013,Electro,509824,3385326
3616,G Spot,1995,Acid House / Techno / Experimental / Ambient,23528,823
1451897,Getz / Gilberto,n/a,Bossa Nova / Latin Jazz,5041,30486
3622045,Mira Mar,2012,Techno,237441,2035635
6249696,Spectrum ,2014,Techno,454861,4076054
1034160,Finding Forever,2007,Conscious,49678,14014
6093647,Ross,1978,Ballad / Rhythm & Blues / Soul / Funk / Disco,1723,47742
195957,Freaky Style - Take 2,1997,House / Ghetto,6691,1611
607899,Untitled,1998,UK Garage / Drum n Bass,175454,1857
7600100,P.H.O.N.E.,2015,Techno / Tribal / African / Acid / Acid House,454861,1642887
2790470,Dolphins,2011,Electro / Synth-pop,500,1057850
5498322,Jazzy (Your Love Makes Me Feel),1993,House / Garage House,8696,2617819
6653273,"Thanks, Karl",2015,Deep House,399283,682927
620929,Futuristic Funk,2006,House / Deep House,5896,177316
4620259,303 / 909,2013,Acid House / Techno / Acid,88375,38945
1025924,City,1993,Hardcore / Emo,37349,715522
2630891,"The Radio Years, Volume 2",1985,n/a,22645,164571
3076256,One On One,1979,Fusion / Contemporary Jazz,33078,48397
1360251,[ Eternal Development ] Remixes Part.5,2007,RnB/Swing / Broken Beat / Downtempo,31360,159630
21188,House Church E.P.,2000,Deep House,95,17679
70309,The Raw Uncut EP (Sampler),2001,Drum n Bass,2787,2851
20873,Jazz Chops EP,2001,Deep House,221,7521
3637312,Jay Dee's Revenge / Birthright,2012,n/a,398555,324866
403048,You Can Dance,1987,Synth-pop / Disco,27031,8760
151660,Teknological / Master,2002,Drum n Bass / Jungle,15780,15616
2768113,Platinum Collection - Celebrating 100 Releases From Water Music Dance,2007,Progressive Trance / Trance / Techno / Deep House / Euro House / Tech House / Electro,23593,194
2680311,Beauty And The Beat,2005,n/a,9741,39713
17545,The Essence,2001,House / Drum n Bass,3055,3865
2463302,This Is Acid (A New Dance Craze),1988,Acid House / House / Deep House,8892,13092
5991338,Black Drift / Bismuth,2014,Techno,726631,137792
7324,Muggerscum Out,1996,Techno,18,1114
12359,Going Out,2001,Future Jazz / Deep House,95,12028
789502,Pulverturm,1999,Trance,13252,17261
478461,Hi Fly,2005,Fusion / Contemporary Jazz / Latin Jazz,9085,57991
5317641,Raw Beats 51,2000,DJ Battle Tool,47028,354543
2896,Brainwaves / Distant Origin,2000,Drum n Bass,612533,22979
3429488,"Beats, Breaks Etc Vol 1",n/a,Breakbeat / Cut-up/DJ,117788,1156958
57258,Whatchulookinat??,1999,Ghetto,4233,8828
14790,Oh Baby,2001,House / Deep House,2497,55
11003,Transitions,1999,Deep House,23,55
158290,Because Of Love,1994,House / Garage House,16815,8024
348009,All I Do,2000,Deep House / Jazzdance,6209,9571
3474495,Give Me A Reason,2012,Deep House / Garage House,80835,98000
20197,Confliction,2001,Jungle / Drum n Bass,3806,17198
8778208,Kennedy,2004,House,221,216160
99252,Let The Beat Hit 'Em,1991,House / Breaks,1866,48863
6677809,Never Before And Never Again,1978,Soundtrack / Big Band / Vocal,103170,135189
48694,Dimensional,2002,Deep House,13,20099
1057242,[The Remix War],1994,Industrial,1541,11781
2007439,King Of Pain / Spirits In The Material World,2008,Pop Rock / Synth-pop,904,7987
547167,Who Am I?,2001,n/a,40591,148734
4678593,Planet Rock,n/a,Electro,26011,2532
7691670,Nighthorse,1993,Hard Trance,320568,1314
4967636,Here Come The Lords,1993,n/a,11424,18606
160084,Good Love,1994,House / Deep House / Garage House,2021,28772
361059,Relativity Urban Assault,1996,Thug Rap / Gangsta,1952,194
1131177,I Got Soul,2005,Deep House / Funk,5896,60607
120194,The R,1988,n/a,33520,4033
34495,Klip,1995,Techno,113,26837
363466,Funky Child,1992,n/a,11424,18606
1552174,Raw Beats #65,2002,Instrumental,47028,354543
1005534,Irreconcilable / Lyrics Loverz Deluxe!!!,2002,n/a,33243,66049
3660940,Symptom B/w Visible Distance & Flux,1993,Post-Punk / Emo / Hardcore,18608,715522
4766,Project 2,2000,Drum n Bass,882,3773
4989594,1484,2013,Bassline / Deep House / Techno,23528,830983
7377,Get On Up,2000,House,4,8308
1019,Da Orbital Grow Moonbooz EP,1997,House / Techno,219,5999
3906,Coad Warrior 3,2001,Techno,253,1270
205550,Untitled,1997,Hardcore / Industrial,1337709,99461
9157358,Hot Lava,2006,House / Deep House,46350,194
4070865,Natural (Part 2),2003,Tribal / Deep House,702,493896
47426,Essential Vol. 2,1993,House,943,11491
557677,It's Like That,1991,Hip-House,4619,137935
3749707,Cosmic Kev Ram Squad Sampler,2000,n/a,796,373058
9187889,Serpent Fire,1999,Deep House / Tech House / Leftfield,23,7626
2078589,Zis Not A Rap Song,2002,Deep House,13,1390
201918,One A.D. (Volume One Ambient Dub),1994,Dub / Ambient,2402,194
1643849,Smash Rockwell,2005,n/a,15336,125912
3230257,Destination Brooklyn,1994,Ragga HipHop,24169,245528
334855,Get Your Thing Together,1991,House / Garage House / Hip-House,361833,60121
5704,Bad Boy Come Again - Soundclash Vol. 3,1993,House,243,6463
251723,Yo Baby Yo,1996,Hard House,893,28257
37292,Back For Dat Ass,1998,Hard House,2182,2182643
25261,Bodysnatcher,1998,Noise / Drum n Bass / Breakcore,3019,17302
3723996,Streak,2002,Progressive House / Techno,3507,56685
532230,One,1994,House / Acid House / Euro House / Breakbeat / Techno / Synth-pop / Electro / Ambient / Downtempo,1866,27935
139564,Sweetsmoke (Remixes),2003,House,109,3586
123443,Electric Appliances,2003,Breakbeat / Electro,12547,7970
847589,Okkasion EP,2006,Techno / Minimal,2643,28623
146679,The Countdown,2001,Hard House / Hard Trance,4907,36431
96130,La Isla,1998,House / Samba / Batucada,131420,7379
85053,Genius Rap,1981,Disco,2739,21712
4959,6th Sense EP,1996,Tech House,1023,151261
33992,"Battlemaster ""Round One""",2001,Drum n Bass,5182,31431
27360,The Unreleased Project Part III,1993,Freestyle / House,2086,4116
279362,Tukka Yoot's Riddim,1994,Jazzdance / Jazzy Hip-Hop,281,10373
24660,Sun,1995,Trance / Goa Trance,1084,5581
925342,Master Of Puppets,2007,Electro / Tech House,45516,361217
34903,La La Land (Remixes),2001,House,145,219
