artist_id,artist_name
194,Various
50997,Nas
48413,Ohio Players
45,Aphex Twin
120527,Big Noyd
1196,CJ Bolland
25788,Crusher
47076,DJ Q-Bert
47076,DJ Q-Bert
28091,The Generator
226260,GP Wu
11491,Jason Nevins
7162,Justin Warfield
95032,Lord Tariq & Peter Gunz
875447,Majistrate & DJ Nicol
21524,Popof
102420,Protectors Of Bass
135478,Ramones
1098,Rick Wade
176667,Skratchy Seal
194,Various
18536,Auto-Psy
22076,Darrell Martin
93737,General Public
89865,Jedi Mind Tricks
369500,L.A.'s Own Billy The Kidd
47010,My Mine
866,Paul Johnson
4954,Ryme Tyme
5875848,Boy Dude
1172859,The Drastics
203925,Hi-Bias
2042,House Of 909
17360,Jack Lucifer
2920917,Marquis Hawkes
5057076,Rush Plus
17358,Stickhead
366154,Toadstool (2)
194,Various
2519485,Daniel Avery
18473,The DJ Producer
17359,Dogge Team
430816,Gary Beck
2295040,Honor Among Thieves
1104,Marshall Jefferson
693,Ron Trent
774610,Short & Sassy
34225,Shortkut
1773572,Central (7)
2145,Gemini
1900234,Jeff Derringer
693,Ron Trent
1623762,Tsembla
194,Various
4542470,Willie Mullins (3)
5092572,Basil & Rogers
5208566,invisibleland
328543,Jus-Ed
34278,Led Zeppelin
693,Ron Trent
693,Ron Trent
194,Various
75873,The Emperator
467945,Jenna Gibbons
2450802,LPZ
28279,Mark V. & Poogie Bear
49244,Oliver Huntemann
866,Paul Johnson
14295,Pete Rock
1030,Plastikman
1030,Plastikman
3385326,Second Storey
823,Speedy J
30486,Stan Getz
2035635,Truncate
4076054,BM/CC/CW
14014,Common
47742,Diana Ross
1611,DJ Funk
1857,DJ Phantasy
1642887,Kloke
1057850,Mi Ami
2617819,Nicole Willis (2)
682927,Olin
177316,The Sexicanz
38945,Todd Osborn
715522,Universal Order Of Armageddon
164571,Bing Crosby
48397,Bob James
159630,grooveman Spot
17679,Harley & Muscle
2851,Hive
7521,Induceve
324866,J Dilla
8760,Madonna
15616,Tech Level 2
194,Various
39713,Edan
3865,Herbie Hancock
13092,Maurice Joshua
137792,Nathan Fake
1114,Surgeon
12028,Antenna
17261,Niels Van Gogh
57991,Povo
354543,Raw Beats
22979,Teebee
1156958,D.J. Byrd
8828,DJ Godfather
55,DJ Rasoul
55,DJ Rasoul
8024,Janet Jackson
9571,Jay-J
98000,"Julio ""Deuce"" Martinez"
17198,Jungleboy
216160,Kill Hannah
48863,Lisa Lisa & Cult Jam
135189,Marilyn Monroe
20099,Milton Jackson
11781,Pitchshifter
7987,The Police
148734,Sound Providers
2532,Afrika Bambaataa & Soulsonic Force
1314,Cybordelics
18606,Lords Of The Underground
28772,Shay Jones
194,Various
60607,Blacksoul
4033,Eric B. & Rakim
26837,Fawn
18606,Lords Of The Underground
354543,Raw Beats
66049,Sub-Conscious
715522,Universal Order Of Armageddon
3773,Aphrodite
830983,Darkstar (6)
8308,DJ Spun
5999,Glory B
1270,Planetary Assault Systems
99461,Slab (2)
194,Various
493896,Afro-Mystik
11491,Jason Nevins
137935,Powerful Juvenile
373058,Ram Squad
7626,Rocket
1390,Teddy G
194,Various
125912,Casual
245528,Lil' Vicious
60121,P.W.M.
6463,Bitch
28257,Dance Works!
2182643,DJ ESP (4)
17302,DJ Scud
56685,Kung Fu Rodriguez
27935,Midi Rain
3586,Mr. Scruff
7970,Mr. Velcro Fastener
28623,Wighnomy Brothers
36431,Atomic Alliance
7379,Chris Coco
21712,Dr. Jeckyll & Mr. Hyde
151261,The Sense (2)
31431,TMS 1
4116,Todd Terry
10373,Us3
5581,Virus
361217,Wollion
219,Green Velvet
120306,Kelly M
1031,Moby
37906,Busta Rhymes
6714,D Mob
89548,Energy Box
239695,Madd Rapper
16958,Maggotron
156522,Mono Blanco
6244,Omar Santana
199,Pure Science
5603,Coco Da Silva
10656,Front Line Assembly
695,Justin Tewn
28141,Warp Brothers
1291,Alter Ego
51980,Black Britain
10197,Brixton
5870,Sneaker Pimps
194,Various
194,Various
5603,Coco Da Silva
16539,Eon
26018,Starski And Clutch
36297,Capital J
41595,Jon The Dentist & Ollie Jaye
12707,Mark Rogers
239306,The Minx
370971,Pablo Cruise
215580,Theodore Unit
91631,DJ Kadozer
4515,Psychaos
38222,Scott Mac
69989,DJ Hitch Hiker
12105,DJ Mellow-D
12753,Exit EEE
80019,Jeffrey Osborne
2709,Nitzer Ebb
194,Various
194,Various
194,Various
17896,Backroom Productions
15956,Chapter & Page
41595,Jon The Dentist & Ollie Jaye
4391,MCM 13
46028,Modern Moves
4117,Olive
230547,Rhonda Clark
60450,The Crusaders
373,Henrik B
10578,The Pharcyde
194,Various
20149,Balloon
20401,DJ Outblast
14956,Rasco
487733,Viper (7)
4266,Junior Jack
684515,Sohrab
17502,The Streets
194,Various
194,Various
194,Various
365427,Wayne Live
17308,Affie Yusuf
3538770,Deetroit
372109,Friske
765701,Future Beat Investigators
7261,J.J. Fad
520374,Jaye P. Morgan
1163929,Kid Drama
3567801,Odesza
549188,Ol (2)
5057076,Rush Plus
1515992,Andrade
88510,Andrew Emil
4498695,Body-san
58866,Chrissy
746170,Cinthie
6184479,Herb Rhythm
252,Iz & Diz
5715853,JVXTA
503060,Little Dragon
92798,Phyllis Hyman
2062,Vincent Floyd
3238903,Will Martin (4)
3885,Terence Fixmer
638,Aqua Bassino
45,Aphex Twin
1705,Phuture
1431577,Charles Trees
174,Peace Division
16619,Eric Prydz
1154526,6th Borough Project
222578,Calvin Harris
5057076,Rush Plus
24564,DJ Spettro
2474,Cajmere
666,Cpen
127142,Black Daniels
43447,Jacob London
224,Bob Sinclar
4838162,Peggy Gou
190400,Da Bush Babees
4838162,Peggy Gou
18530,Amiga Shock Force
80325,Bone Thugs-N-Harmony
704381,Captive (2)
364761,Chopstick Dubplate
4184,Cricco Castelli
572,Decal
2135,DJ Milton
18472,Doormouse
7213,Freddy Fresh
106624,H-Town
37749,Harold Budd
41057,L'Trimm
52816,Mack 10
1141,Model 500
1376,Mr. G
47214,Taciturne
194,Various
493896,Afro-Mystik
38863,Aretha Franklin
5099,Baby Ford
1875858,Chase Smith
69544,Das EFX
44390,El Da Sensei
32990,George Michael
4214,James Holden
21742,Jay-Z
79898,Jupiter 6
28579,Kut Masta Kurt
109918,Lavish Habits
8760,Madonna
17900,Mobb Deep
342325,Nico Purman
1032826,Noface
17743,Paul Hardcastle
203294,S.U.M.O.
19731,Sade
3263,Saukrates
1869,Sine
30486,Stan Getz
20567,T.G. Funkin
2730035,Terra Sul
45095,Trick Daddy
193674,Two Da Road
194,Various
194,Various
194,Various
194,Various
164253,Ahmad Jamal
13117,Basic Channel
2152713,The Black Madonna
16622,C + C Music Factory
762870,C.L.A.W.S.
604091,Chico Mann
4269173,Citizenn
122750,Darth Fader
18472,Doormouse
12223,Georgie Porgie
2757000,Hade (4)
475430,I-Robots
205812,KiNK
95544,Ludwig Van Beethoven
24495,Malcolm McLaren
2228727,Map Of The World
2228727,Map Of The World
7204,Mighty Dub Katz
1141,Model 500
17743,Paul Hardcastle
417688,Pollyn
110076,Ripit
19731,Sade
176667,Skratchy Seal
79220,Sweet 'n Candy
194,Various
194,Various
194,Various
13796,Yoda
27542,Blue Moon Orchestra
579,Cyrus
2365,DJ Chip
5545883,DJ Different
1611,DJ Funk
312762,Eidolon
531204,Jacques Renault
1079020,Kez YM
202401,Krinjah
1141,Model 500
1141,Model 500
3867,Newcleus
394775,Noleian Reusse
3285,Piece
251395,Pilly P.
426257,Pussycat (4)
2641937,The Reflex
2485344,SCNTST
201612,Spukkin Faceship
1157826,Vakula
194,Various
194,Various
194,Various
51549,Abstract Tribe Unique
18530,Amiga Shock Force
70615,Beach Flea
2088189,C Powers
874551,Catz N' Dogz
68882,Celsius
49282,Chez N Trent
145180,Chris Carrier
3296369,DC Fallout
16761,Digital Underground
17302,DJ Scud
398944,Einzelkind
2562576,Gal Tsadok-Hai
59,Kerri Chandler
323535,Lerosa
625672,The Lost Boys (7)
4053621,Lucky Charmz (2)
459,Mark Broom
459,Mark Broom
98744,Minimal Compact
1118,Neil Landstrumm
118760,No Artist
502002,Ray Lamontagne
3057,Ricardo Villalobos
194,Various
194,Various
194,Various
194,Various
194,Various
139783,Various Artist (2)
87643,Violent Femmes
302965,Zemi 17
26,Alexi Delano
88510,Andrew Emil
870,Armando
2896,Astrocat
85192,Axkan
16377,Bamboo Soul
1844953,Bnjmn
268911,Bob Seger And The Silver Bullet Band
2923812,DJ Noi (2)
106370,DJ Quietstorm
82347,Have A Few / Get Some
40433,Ill Bill
4813617,Texas Scratch League
4813617,Texas Scratch League
435,To Rococo Rot
57180,Ulysses (2)
194,Various
1360,Adam Beyer
2794103,House Of Black Lanterns
1029,I:Cube
714621,Julian Jeweil
2368911,Loopstars
8760,Madonna
31219,Marvellous Cain
45187,MC Buzz B
2641,Modulator
229180,The Platters
1465949,Steve Summers (3)
3778449,Uun
194,Various
194,Various
87795,Warp Minds
25276,Yanu
963424,Cosmic Metal Mother
230635,Cut Master Crash
1402,Depth Charge
77287,DJ Boogie
34331,DJ Greedy
16713,DJ T.T. Hacky
8486,Double 99
4689710,Drooids
1240,Emmanuel Top
3089,Freon
87717,The Knife
325826,Max Ricci
18839,Metallica
86073,N Project
1118,Neil Landstrumm
1187,Psion
50517,Stratus (2)
57180,Ulysses (2)
168482,Valyom
194,Various
194,Various
302965,Zemi 17
1665,DJ Deeon
2923812,DJ Noi (2)
37223,The Doobie Brothers
224792,Hook Up Tunes
21174,The House Fucker
629745,James Pants
471791,Jon Gaiser
750,Laurent Garnier
18415,Overcast
466,Plug
1720,Sonz Of A Loop Da Loop Era
194,Various
194,Various
194,Various
4990,White Viper
30425,Zongamin
1983696,David Brown (37)
259295,DJ Flapjack
3893,Justin Berkovi
192622,Kong Fu
1050317,Kyle Geiger
34278,Led Zeppelin
58554,Murs
5826,Nathan Haines
1204355,Neo Radio
9827,Scott Hardkiss
9805,Sean Smith
108493,Silent Partners
355,Unknown Artist
194,Various
48919,2 Many DJ's
6337,Black Lodge
312,Blame
2474,Cajmere
31009,Ce Ce Rogers
696,Glenn Underground
884799,Inkwell (2)
28164,Ralphi Rosario
38034,Suv
38238,Ultramagnetic MC's
168482,Valyom
194,Various
194,Various
194,Various
194,Various
194,Various
71651,Zion I
1110,The Advent
8560,Andreas Kremer
201238,Benjamin Orphan
26407,Bob Brown
142181,Bobby Khozouri
8485,Chicken Lips
3363,Colette
3073,Dietrich Schoenemann
14742,EPMD
847648,Felix (24)
1083695,Fuck Buttons
70351,The Furious Five
1244,Grooverider
3390,Jark Prongo
1825,Joey Negro
1411,Justice
24422,Krust
3566,The New Aluminists
48413,Ohio Players
385148,Rarevos
145637,Rusty P's
5892,Satoshi Tomiie
222953,Side Three
1138154,Stax (6)
194,Various
1716,Aquasky
2208161,Ascion & D. Carbone
21491,Big Daddy Rick
80325,Bone Thugs-N-Harmony
135788,Bryan Fury
493732,Dos Noun
744728,Emphasis (11)
15147,Endymion
4299,GF
974984,Luke The Drifter
51188,Paris (2)
10578,The Pharcyde
932352,Wale
107707,Yass
133704,D'Headbanga
21490,DJ Dick Nixon
101445,Johnny Loopz
6853,Jon Cutler
19116,Kaskade
1032,Ken Ishii
3161,King Kooba
4848,Kool G Rap
107290,Love Science
177170,Mindhacker
11085,Notorious J
516259,Pablo J
9917,Special Branch
4267,Steve Smooth
387,T.Power
194,Various
194,Various
194,Various
2046,16B
9733,187 Lockdown
108943,24-K
209696,Bizarre Inc
205921,Black Eyes
80325,Bone Thugs-N-Harmony
10144,Disco D
279014,DJ Total M
1103077,Fink (6)
12484,Gaag
5965,Geezer
12590,M|A|R|R|S
34453,Malente
96779,Martha Cinader
22260,Mayaku
98744,Minimal Compact
54463,Myagi
117913,Overtone (2)
194,Various
34155,49ers
1444,DJ Vadim
40915,Fu-Schnickens
1482178,Groove Box (2)
863,Like A Tim
1031,Moby
20957,Rick James
10837,Scotti Deep
194,Various
194,Various
194,Various
164253,Ahmad Jamal
1572,Ballistic Brothers
3270,Blackalicious
21600,Bonafide
21747,Chicks On Speed
45722,Collapsed Lung
323,Danny Breaks
228876,Dapayk Solo
113673,Dionne Warwick
4478,DJ Shadow
1497,DJ Spen
3214,DJ Spooky
85523,DJ X-Dream
1021222,Emotif Cru
15204,Evil Activities
354543,Raw Beats
79265,Robag Wruhme
76894,The Roots
151635,Saigon
14350,Sunset People
181695,Amit Shoham
877060,Andrew Phelan & Origami
475,The Bowling Green
358483,Dead Seal
97487,Greg Silver
69990,Hardheadz
25449,Joshua Collins
69341,Loophole (2)
1531,LoSoul
4652,Question
10955,Smart Alex
1191,Subhead
53492,UK Apachi
1160,Underground Resistance
4011,Urban Soul
194,Various
1758,The Ananda Project
3352,Armand Van Helden
5099,Baby Ford
53248,Barbra Streisand
1600,Basement Jaxx
36297,Capital J
2527117,Chix-52
259082,Clifford Brown
8611,Discocaine's Bitch Creek
40810,The Dream Team
3334,Jazmin & Face
145288,Nat King Cole
4652,Question
2090,Solid State
36227,Stuntmasterz
710109,Umek
3352,Armand Van Helden
317579,Axis (12)
14014,Common
1550748,Duke 357
57103,Elton John
82245,Faith / Hope & Charity
16625,The Fog
10349,God
38577,Napoleon Soul O
66153,Shaquille O'Neal
10586,Slum Village
355,Unknown Artist
194,Various
42110,Bounty Killer
1714841,Darius G.
208076,Do Or Die
953862,Flatt & Scruggs
35022,Herb Alpert
607538,Lee Greenwood
15799,Navario Sauro
2622,Nocturne
179010,Partners
70395,Rare Essence
82827,Whorgasm
42554,B.G. The Prince Of Rap
46922,Bjorn Elevators
50574,D-Type
262816,Erroll Garner
75280,Joe Jackson
1949,Majistrate
179335,WC
3449,Akabu
63628,Al Jarreau
253432,Art Garfunkel
397166,Astrocats
63507,Bette Midler
213566,Big Mike (3)
54627,Spensane
149586,Tribal Depth
150346,Deep Substance
22602,DJ Lukas
70081,DJ Mill & Manuel T.
208076,Do Or Die
227465,Felli Fel
5309,Full Intention
148507,Georgio (2)
266422,The Moody Blues
220594,Jean-Luc Ponty
2723,Keith Litman
44208,Korsakow
97399,Liberace
178698,Three 6 Mafia
81566,A*Teens
177683,Bad Azz
305,Calyx
3054,Cristian Varela
208076,Do Or Die
6521,Dylan Rhymes
31615,Ella Fitzgerald
3140,Tricky
194,Various
50703,Babyface
8349,BK
196475,Blaque (2)
103106,Builder
48350,Liars
43956,Obsession
40409,Robert Palmer
102507,Walt
67042,Wendy & Lisa
263,Brothers' Vibe
5005,Disorder
5005,Disorder
70103,DJ Duro
62197,DJ Elias & Evanz D
53376,DJ Junk
3034,Filter Science
953862,Flatt & Scruggs
39376,Frankie Cutlass
38088,Hypnotone
1411,Justice
64595,Justin Bourne & Dynamic Intervention
223131,Kenny Rogers
126064,Memphis Bleek
38832,R.M. Project
15487,Rubber Souls
51267,702
1711,Chris Liebing
50514,KRS-One
9620,Safety Session
194,Various
194,Various
194,Various
35645,Willie Diggs
10990,Blackstreet
6626,Derrick Carter & Chris Nazuka
353398,Duke Mushroom
288,E-Z Rollers
3100175,Ed & Jen
9266,Impulse
1094762,Joey Anderson (2)
97658,Mase
58450,Matt French
90541,Mick Jagger
42444,MJ12
10398,Morcheeba
14295,Pete Rock
25433,Shallow
150136,Shyne
36768,Skeleton Rock
67728,Sway & King Tech
160230,Tribeca (2)
85165,Unix
4984,4E
2152713,The Black Madonna
5983247,Caissard DJ
746170,Cinthie
1060,Dimitri From Paris
776,DJ Cam
3742549,Dr. Packer
92978,Eastbound Expressway
1697249,Entro Senestre
889347,FaltyDL
4258052,Ghosts Of The Sky
82693,The High & Mighty
468552,Ja'Maul Redmond
4125809,Jedi Hi-Fi
41767,Keith Sweat
126,Kenny Dixon Jr.
68311,The Lady Of Rage
18606,Lords Of The Underground
76117,Marlon D.
3672600,Naeem
3672600,Naeem
2406747,Octo Octa
3787553,Person of Interest
6310409,The Problem With George
12413,Rob Steal
5221272,Robin Lohrey
6518,Simply Red
150588,Subroc
150588,Subroc
2967,Tyree Cooper
375221,United People Of Zion
194,Various
194,Various
