label_id,label_name
49764,New Series
172430,Def Jam Recordings (2)
39357,Mercury
23528,Warp Records
26011,Tommy Boy
225,Internal
5353,Head Fuck Records
19078,Thud Rumble
19078,Thud Rumble
1184,Tidy Trax
878,MCA Records
88,Nite Grooves
6723,Qwest Records
1866,Columbia
478,Urban Takeover
21271,Kameezol Records
6236,Cold Rush Records
27031,Sire
1331,Harmonie Park
19078,Thud Rumble
8377,Island Records
4356,Fischkopf Hamburg
44853,Natural Wonder
750,Virgin
23188,Superegular Recordings
31724,ABB Records
2167,Blow Up
13302,Transparent Records Inc.
123,Moving Shadow
980370,Hobo Camp
212882,Not On Label (The Drastics)
3784,Bigshot Records
222096,Cascine
4048,Kotzaak Unltd.
65616,Aus Music
1012870,Rush Plus Records
4048,Kotzaak Unltd.
222145,Twin/Tone Records
12099,X-Mix
94402,Phantasy Sound
14866,Remech Recordings
4048,Kotzaak Unltd.
166787,BEK Audio
148324,Flaming Pie Records
50951,Black Label (3)
1483015,MusicandPower (2)
4425,Tino Corp.
19078,Thud Rumble
422025,NORD Records (3)
1760,Cyclo
18,Soma Quality Recordings
1483015,MusicandPower (2)
254942,New Images
88,Nite Grooves
879991,Ndless Nite Records
640826,Forest Jams
93810,Adult Contemporary
46809,Underground Quality
681,Atlantic
348697,Electric Blue (3)
1483015,MusicandPower (2)
979,Cookin' Records
6257,Epileptik Productions
2710,Bingo Beats
1012870,Rush Plus Records
7128,Groove Nation Records
129209,Ideal Audio
145,Relief Records
10433,Rapster Records
246,M_nus
113,NovaMute
509824,Houndstooth
23528,Warp Records
5041,Verve Records
237441,Truncate
454861,Styles Upon Styles
49678,Getting Out Our Dreams
1723,Motown
6691,Universal Funk
175454,Not On Label (CHEL Series)
454861,Styles Upon Styles
500,Thrill Jockey
8696,Night Club Records
399283,Argot (2)
5896,Deepfunk Records
88375,7777
37349,Vermin Scum Records
22645,GNP Crescendo
33078,CBS/Sony
31360,Planetgroove
95,Guidance Recordings
2787,Vortex Recordings
221,Classic
398555,Ruff Draft Records
27031,Sire
15780,Teknological
23593,Water Music Dance
9741,Lewis Recordings
3055,Transparent Music
8892,Vendetta Records (2)
726631,Cambria Instruments
18,Soma Quality Recordings
95,Guidance Recordings
13252,Logic 3000 Records
9085,Raw Fusion Recordings
47028,Raw Beats
612533,Thermal Recordings
117788,Parkbeats
4233,Databass Records
2497,Soulfood
23,Grayhound Recordings
16815,"Virgin Records America, Inc."
6209,Moulton Studios Recordings
80835,Grei Matter
3806,Force Recordings
221,Classic
1866,Columbia
103170,Stet Records
13,Glasgow Underground
1541,Earache
904,A&M Records
40591,Quarternote Records
26011,Tommy Boy
320568,Harthouse U.K.
11424,Pendulum Records
2021,Groove On
1952,Relativity
5896,Deepfunk Records
33520,UNI Records
113,NovaMute
11424,Pendulum Records
47028,Raw Beats
33243,Fruitmeat Records
18608,Jade Tree
882,Aphrodite Recordings
23528,Warp Records
4,Siesta Music
219,Crucial Sounds
253,Peacefrog Records
1337709,Loop Records (12)
46350,Deep House Project
702,OM Records
943,TRIBAL America
4619,Sinister Records
796,Universal Records
23,Grayhound Recordings
13,Glasgow Underground
2402,Waveform Records
15336,Hiero Imperium
24169,Epic Street
361833,Scorpio (11)
243,Bush
893,Underground Construction
2182,Jasper Stone Trax
3019,Ambush
3507,Spundae Recordings
1866,Columbia
109,Ninja Tune
12547,Air Recordings
2643,Freude Am Tanzen
4907,Cases
131420,Other
2739,Profile Records
1023,Rotation Records
5182,Battlemaster Records
2086,TNT Records
281,Blue Note
1084,Perfecto
45516,Blu Fin
145,Relief Records
9328,Rufftrack Records
26391,Mute
5574,EastWest Records America
297,FFRR
11686,Classified Records
1866,Columbia
681,Atlantic
1456,Sm:)e Communications
29074,Moonshine Music
62,Eukahouse
1200,Kismet
34268,Roadrunner Records
676,Subtitled Records
2206,Bang On!
3937,Harthouse America
750,Virgin
554,Holzplatten
854,Clean Up Records
39357,Mercury
6260,Nettwerk America
1200,Kismet
1866,Columbia
4233,Databass Records
4796,Wikkid Records
1184,Tidy Trax
4603,Freetown Inc
5143,Afro Wax Records
904,A&M Records
28944,Sure Shot Recordings
3074,Gang Go Music
5188,Atomic Records
15351,Limit
919,Velvet Vibe Recordings
4120,EDM
3675,No Respect Records
904,A&M Records
821,Geffen Records
15118,HiTop Records
792,Real Estate Records
9970,Pirate Wax Records
8159,Flatline Records (2)
2019,Tetsuo
1272,Phoenix Uprising
2182,Jasper Stone Trax
1718,Based On Bass
1685,Maverick
4196,Tabu Records
878,MCA Records
262,Corb
327832,Not On Label (The Pharcyde)
375893,DHM Records (3)
1998,Radikal Records
4542,Masters Of Hardcore
23605,Pockets Linted Entertainment
2910,Maxi Records
1998,Radikal Records
569923,Shahr Farang
2179,Locked On
503480,Beste Modus
5746,Igloo Music
901201,Vinyl Only (2)
48397,Subcity Records
79627,On The Brink Recordings
611658,Unknown Deetroit
128,Metalheadz
9085,Raw Fusion Recordings
7801,Ruthless Records
1427605,The Regal Beagle
128,Metalheadz
67959,Counter Records
937473,Fit Sound
1012870,Rush Plus Records
590,Silver Network
12404,Four Play Music
232335,100% Silk
1014630,Chi-Steez
503480,Beste Modus
539954,Plastik People Recordings
702,OM Records
776908,Homage
253,Peacefrog Records
1357451,Le-Edits Records
379248,Traxx Underground
297813,Discovery Recordings
178535,Ostgut Ton
14,F Communications
23528,Warp Records
267,Trax Records
980200,Vanity Press Records
52,Low Pressings
1413,Data Records
149853,Delusions Of Grandeur
79240,Fly Eye
1012870,Rush Plus Records
19057,Market House Meats
287,Cajual Records
3,Seasons Recordings
1485,Remedie
8525,U-Freqs
98,Defected
109,Ninja Tune
1000,Warner Bros. Records
109,Ninja Tune
4356,Fischkopf Hamburg
7801,Ruthless Records
10670,Flavour Vinyl
13852,Chopstick Dubplate
283,Junior Boy's Own
202,Leaf
314,Dance Mania
4644,Addict Records
417,Analog Records USA
6553,Luke Records
634,4AD
681,Atlantic
58648,Hoo Bangin' Records
415,Metroplex
58500,REKIDS
6838,Blut
271,Reinforced Records
702,OM Records
362,Arista
